itemid,hotelid,hotelname,address,city,country,propertytype,starrating,roomamenities,roomtype,ratedescription,average_price
459,261557,Alpenland Sporthotel St. Johann im Pongau,Hans-Kappacher-Str. 7,Sankt Johann im Pongau,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Carpeting ;Closet ;Clothes rack ;Desk ;Fan ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Mirror ;Satellitecable channels ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;Woodenparqueted flooring ;,Double Room - Single Use,Room size 20 m_square215 ft_square Balconyterrace Shower and bathtub 1 queen bed,189.565
460,265102,B&B Appartements Glungezer,Schmalzgasse 21,Tulfes,Austria,Hotels,3,Air conditioning ;Alarm clock ;Carpeting ;Closet ;Clothes rack ;Desk ;Fan ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Private entrance ;Satellitecable channels ;Smoke detector ;Telephone ;Toiletries ;Towels ;,Double Room,Room size 18 m_square194 ft_square Balconyterrace Shower 1 queen bed or 2 single beds,140.65
461,270693,Hotel Restaurant Romerhof,Marburger Strasse 1,Leibnitz,Austria,Hotels,3,Air conditioning ;Carpeting ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Satellitecable channels ;Seating area ;Telephone ;,Double Room,Room size 15 m_square161 ft_square Shower 1 queen bed,85.545
462,277909,JUFA Hotel Leibnitz,Klostergasse 37,Leibnitz,Austria,Hotels,3,Air conditioning ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Linens ;Seating area ;Smoke detector ;Toiletries ;Towels ;TV [flat screen] ;,Quadruple Room,Room size 28 m_square301 ft_square Shower 2 single beds and 1 bunk bed and 1 sofa bed,141.65
463,277909,JUFA Hotel Leibnitz,Klostergasse 37,Leibnitz,Austria,Hotels,3,Air conditioning ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Linens ;Seating area ;Smoke detector ;Toiletries ;Towels ;TV [flat screen] ;,Triple Room,Room size 23 m_square248 ft_square Balconyterrace Shower 3 single beds,141.65
464,294376,Ferienhotel Trattnig,Seestrasse 66,Dobriach,Austria,Hotels,4,Air conditioning ;Bathrobes ;Carpeting ;Closet ;Clothes rack ;Coffeetea maker ;Desk ;Extra long bed ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Ironing facilities ;Linens ;Mirror ;Smoke detector ;Telephone ;Toiletries ;Towels ;TV [flat screen] ;Wake-up service ;,Executive King Room,Room size 25 m_square269 ft_square Shower 1 king bed,125.42
465,294376,Ferienhotel Trattnig,Seestrasse 66,Dobriach,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Clothes rack ;Coffeetea maker ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Ironing facilities ;Linens ;Satellitecable channels ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Double Room,Room size 25 m_square269 ft_square Shower 1 queen bed,125.42
466,294376,Ferienhotel Trattnig,Seestrasse 66,Dobriach,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Clothes rack ;Coffeetea maker ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Ironing facilities ;Linens ;Smoke detector ;Telephone ;Toiletries ;Towels ;TV [flat screen] ;Wake-up service ;,Twin Room - Disability Access,Room size 25 m_square269 ft_square Shower 2 single beds,125.42
467,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Additional toilet ;Air conditioning ;Alarm clock ;Blackout curtains ;Carpeting ;Closet ;Coffeetea maker ;Daily housekeeping ;Desk ;Dishwasher ;DVDCD player ;Extra long bed ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Kitchenware ;Linens ;Microwave ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Separate dining area ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;Trouser press ;Wake-up service ;,Superior Double Room,Room size 45 m_square484 ft_square Balconyterrace Non-smoking Shower and bathtub Kitchenette 1 double bed,104.34
468,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Carpeting ;Closet ;Coffeetea maker ;Daily housekeeping ;Desk ;Extra long bed ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Mini bar ;Mirror ;Refrigerator ;Satellitecable channels ;Seating area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Business Double Room,Room size 20 m_square215 ft_square Garden view Balconyterrace Non-smoking Shower Kitchenette 1 double bed,104.34
469,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Carpeting ;Closet ;Coffeetea maker ;Daily housekeeping ;Desk ;Extra long bed ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Mini bar ;Mirror ;Refrigerator ;Satellitecable channels ;Seating area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Economy Plus Double Room,Room size 20 m_square215 ft_square Non-smoking Shower Kitchenette 1 double bed,104.34
470,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Carpeting ;Closet ;Coffeetea maker ;Daily housekeeping ;Desk ;Extra long bed ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Business Single Room,Room size 20 m_square215 ft_square Garden view Balconyterrace Shower Kitchenette 1 single bed,104.34
471,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Blackout curtains ;Carpeting ;Closet ;Coffeetea maker ;Daily housekeeping ;Desk ;Extra long bed ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Economy Single Room,Room size 20 m_square215 ft_square Non-smoking Shower Kitchenette 1 single bed,104.34
472,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Closet ;Coffeetea maker ;Desk ;Extra long bed ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Microwave ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;Woodenparqueted flooring ;,Business Plus,Room size 20 m_square215 ft_square Garden view Balconyterrace Shower Kitchenette 1 queen bed,104.34
473,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Closet ;Coffeetea maker ;Desk ;Extra long bed ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Microwave ;Mini bar ;Refrigerator ;Satellitecable channels ;Seating area ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;Woodenparqueted flooring ;,Economy Double Room,Room size 20 m_square215 ft_square Non-smoking Shower Kitchenette 1 double bed,104.34
474,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Daily housekeeping ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mini bar ;Mirror ;Refrigerator ;Satellitecable channels ;Telephone ;Toiletries ;,Business Plus Double Room,Room size 20 m_square215 ft_square Garden view Balconyterrace Non-smoking Shower 1 double bed,104.34
475,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Daily housekeeping ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Shower ;Telephone ;Toiletries ;,Single Renovated 1pax,Free Wi-Fi Extra low price non-refundable,104.34
476,298167,Living Hotel Kaiser Franz Joseph by Derag,Sieveringer Strasse 4,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Daily housekeeping ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Shower ;Telephone ;Toiletries ;Towels ;Trouser press ;,Guestroom,Room size 20 m_square215 ft_square,104.34
477,306747,Hotel Wenger Alpenhof,Weng 34,Werfenweng,Austria,Hotels,3,Air conditioning ;Closet ;Coffeetea maker ;Desk ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Satellitecable channels ;Shower ;Toiletries ;,Double Room,Extra low price non-refundable,78.535
478,307649,Gasthof-Pension Waldfriede,Niedergail 7,Liesing,Austria,Hotels,3,Air conditioning ;Carpeting ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Sofa ;Toiletries ;Towels ;TV [flat screen] ;,Family Room 2 Adults + 2 Children,Room size 25 m_square269 ft_square Shower 1 double bed and 1 sofa bed or 1 sofa bed,97.15
479,307649,Gasthof-Pension Waldfriede,Niedergail 7,Liesing,Austria,Hotels,3,Air conditioning ;Carpeting ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Toiletries ;Towels ;TV [flat screen] ;,Double Room,Room size 20 m_square215 ft_square Shower 1 double bed,97.15
480,309584,All Inklusive Hotel Burgstallerhof,Dorfstrasse 10,Feld am See,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mosquito net ;Private entrance ;Telephone ;Toiletries ;Towels ;TV ;,Economy Double or Twin Room,Room size 16 m_square172 ft_square Shower 1 queen bed or 2 single beds,69.32
481,309584,All Inklusive Hotel Burgstallerhof,Dorfstrasse 10,Feld am See,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mosquito net ;Telephone ;Toiletries ;Towels ;TV ;,Classic Double or Twin Room,Room size 17 m_square183 ft_square Shower 1 queen bed or 2 single beds,69.32
482,309584,All Inklusive Hotel Burgstallerhof,Dorfstrasse 10,Feld am See,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mosquito net ;Telephone ;Toiletries ;Towels ;TV ;,Classic Single Room,Room size 12 m_square129 ft_square Shower 1 single bed,69.32
483,309584,All Inklusive Hotel Burgstallerhof,Dorfstrasse 10,Feld am See,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mosquito net ;Telephone ;Toiletries ;Towels ;TV ;,Family Room,Room size 24 m_square258 ft_square Shower 2 single beds and 1 queen bed,69.32
484,309584,All Inklusive Hotel Burgstallerhof,Dorfstrasse 10,Feld am See,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mosquito net ;Telephone ;Toiletries ;Towels ;TV ;,Triple Room,Room size 23 m_square248 ft_square Balconyterrace Shower 1 single bed and 1 queen bed or 3 single beds,69.32
485,320895,Hotel & Chalet Montana,Oberlech 279,Lech,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Shower ;Slippers ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Family Suite 2 Adults + 2 Children,Room size 30 m_square323 ft_square 1 queen bed and 1 sofa bed or 1 queen bed and 2 single beds,388.29
486,320895,Hotel & Chalet Montana,Oberlech 279,Lech,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Double Room,Room size 20 m_square215 ft_square Shower and bathtub 1 king bed and 1 sofa bed,388.29
487,320895,Hotel & Chalet Montana,Oberlech 279,Lech,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Single Room,Room size 15 m_square161 ft_square Balconyterrace Shower 1 single bed and 1 sofa bed,388.29
488,320895,Hotel & Chalet Montana,Oberlech 279,Lech,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Suite,Room size 30 m_square323 ft_square Balconyterrace Shower and bathtub 1 king bed and 1 sofa bed,388.29
489,321868,Pension Thermensonne,Oberhenndorf 48,Jennersdorf,Austria,Hotels,3,Air conditioning ;Alarm clock ;Bathrobes ;Closet ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;High chair ;In-room safe box ;Linens ;Mirror ;Satellitecable channels ;Separate dining area ;Smoke detector ;Sofa ;Towels ;Woodenparqueted flooring ;,Double Room,Room size 25 m_square269 ft_square Balconyterrace Shower 1 double bed and 1 sofa bed,62.285
490,321868,Pension Thermensonne,Oberhenndorf 48,Jennersdorf,Austria,Hotels,3,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Single Room,Free Breakfast Pay at the hotel Free Wi-Fi Cancellation policy,62.285
491,328254,Hotel Post,Dorfplatz 4,Kaltenbach,Austria,Hotels,4,Air conditioning ;Closet ;Coffeetea maker ;Desk ;Extra long bed ;Free Wi-Fi in all rooms ;Heating ;In-room safe box ;Laptop safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Soundproofing ;Wake-up service ;Woodenparqueted flooring ;,Club Double Room,Room size 30 m_square323 ft_square Shower 1 king bed,184.515
492,328254,Hotel Post,Dorfplatz 4,Kaltenbach,Austria,Hotels,4,Air conditioning ;Closet ;Coffeetea maker ;Desk ;Extra long bed ;Free Wi-Fi in all rooms ;Heating ;In-room safe box ;Laptop safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Soundproofing ;Wake-up service ;Woodenparqueted flooring ;,Deluxe Suite,Room size 50 m_square538 ft_square Balconyterrace Shower and bathtub 1 king bed,184.515
493,328254,Hotel Post,Dorfplatz 4,Kaltenbach,Austria,Hotels,4,Air conditioning ;Closet ;Coffeetea maker ;Desk ;Extra long bed ;Free Wi-Fi in all rooms ;Heating ;In-room safe box ;Laptop safe box ;Mini bar ;Refrigerator ;Satellitecable channels ;Soundproofing ;Wake-up service ;Woodenparqueted flooring ;,Executive Double Room,Room size 35 m_square377 ft_square Shower and bathtub 1 king bed,184.515
494,349269,Almwellness-Resort Tuffbad,Tuffbad 3,Tuffbad,Austria,Resorts,4,Air conditioning ;Bathrobes ;Carpeting ;Closet ;Clothes rack ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Sofa ;Telephone ;Toiletries ;Towels ;,Double Room with Four Poster Bed,Room size 45 m_square484 ft_square Shower and bathtub 1 queen bed,216.32
495,349269,Almwellness-Resort Tuffbad,Tuffbad 3,Tuffbad,Austria,Resorts,4,Air conditioning ;Bathrobes ;Carpeting ;Closet ;Clothes rack ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Sofa ;Telephone ;Toiletries ;Towels ;,Double Room with Balcony,Room size 35 m_square377 ft_square Balconyterrace Shower and bathtub 1 queen bed,216.32
496,349269,Almwellness-Resort Tuffbad,Tuffbad 3,Tuffbad,Austria,Resorts,4,Air conditioning ;Bathrobes ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mirror ;Satellitecable channels ;Seating area ;Sofa ;Telephone ;Toiletries ;Towels ;,Superior Chalet,Room size 53 m_square570 ft_square Balconyterrace Shower and bathtub 1 king bed,216.32
497,355865,Hotel garni Moserhof,Berg 54,Tannheim,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Carpeting ;Closet ;Coffeetea maker ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Kitchenware ;Linens ;Microwave ;Mirror ;Refrigerator ;Satellitecable channels ;Seating area ;Shower ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;,Two-Bedroom Apartment,Room size 85 m_square915 ft_square Balconyterrace Bathtub Kitchenette 2 bedrooms 1 queen bed or 2 single beds or 1 sofa bed,221.52
498,355865,Hotel garni Moserhof,Berg 54,Tannheim,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Carpeting ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mirror ;Refrigerator ;Satellitecable channels ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;,Double Room,Room size 35 m_square377 ft_square Balconyterrace Shower 1 queen bed,221.52
499,355865,Hotel garni Moserhof,Berg 54,Tannheim,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Carpeting ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mirror ;Refrigerator ;Satellitecable channels ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;Woodenparqueted flooring ;,Deluxe Room,Room size 40 m_square431 ft_square Balconyterrace Shower 1 queen bed,221.52
500,355865,Hotel garni Moserhof,Berg 54,Tannheim,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Closet ;Coffeetea maker ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Kitchenware ;Linens ;Microwave ;Mirror ;Refrigerator ;Satellitecable channels ;Seating area ;Separate dining area ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;Woodenparqueted flooring ;,Corner Suite,Room size 65 m_square700 ft_square Balconyterrace Shower Kitchenette 1 queen bed or 1 sofa bed,221.52
501,359963,La Pura Womens Health Resort Kamptal,Hauptplatz 58,Gars am Kamp,Austria,Hotels,4,Air conditioning ;Bathrobes ;Closet ;Coffeetea maker ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Mini bar ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Telephone ;Toiletries ;Towels ;Wake-up service ;Woodenparqueted flooring ;,Standard Double Room,Room size 26 m_square280 ft_square Shower 1 king bed,195.305
502,359963,La Pura Womens Health Resort Kamptal,Hauptplatz 58,Gars am Kamp,Austria,Hotels,4,Air conditioning ;Bathrobes ;Closet ;Coffeetea maker ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Mini bar ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Telephone ;Toiletries ;Towels ;Wake-up service ;Woodenparqueted flooring ;,Superior Double Room,Room size 28 m_square301 ft_square Balconyterrace Shower 1 king bed,195.305
503,359963,La Pura Womens Health Resort Kamptal,Hauptplatz 58,Gars am Kamp,Austria,Hotels,4,Air conditioning ;Bathrobes ;Closet ;Coffeetea maker ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Sofa ;Telephone ;Toiletries ;Towels ;Wake-up service ;Woodenparqueted flooring ;,Junior Suite,Room size 40 m_square431 ft_square Shower 1 king bed,195.305
504,364386,Gasthof Hotel Post,Oberdorf 6,Strass Im Zillertal,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Coffeetea maker ;Desk ;Dishwasher ;Free Wi-Fi in all rooms ;Full kitchen ;Hair dryer ;Heating ;In-room safe box ;Kitchenware ;Linens ;Microwave ;Refrigerator ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Superior One-Bedroom Apartment with Balcony or Terrace - Annex,Room size 45 m_square484 ft_square Balconyterrace Shower Kitchenette 2 single beds and 1 queen bed,166.27
505,364386,Gasthof Hotel Post,Oberdorf 6,Strass Im Zillertal,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Coffeetea maker ;Desk ;Dishwasher ;Free Wi-Fi in all rooms ;Full kitchen ;Hair dryer ;Heating ;In-room safe box ;Kitchenware ;Linens ;Microwave ;Refrigerator ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Two-Bedroom Apartment with Balcony or Terrace - Annex,Room size 45 m_square484 ft_square Balconyterrace Shower Kitchenette 2 bedrooms 1 queen bed or 2 single beds,166.27
506,364386,Gasthof Hotel Post,Oberdorf 6,Strass Im Zillertal,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Coffeetea maker ;Desk ;Dishwasher ;Free Wi-Fi in all rooms ;Full kitchen ;Hair dryer ;Heating ;In-room safe box ;Kitchenware ;Linens ;Microwave ;Refrigerator ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Studio with Balcony or Terrace - Annex,Room size 35 m_square377 ft_square Balconyterrace Shower Kitchenette 1 queen bed,166.27
507,364386,Gasthof Hotel Post,Oberdorf 6,Strass Im Zillertal,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Satellitecable channels ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Family Suite,Room size 45 m_square484 ft_square Non-smoking Shower 1 double bed and 1 bunk bed,166.27
508,364386,Gasthof Hotel Post,Oberdorf 6,Strass Im Zillertal,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Satellitecable channels ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Single Room,Room size 21 m_square226 ft_square Non-smoking Shower 1 single bed,166.27
509,364386,Gasthof Hotel Post,Oberdorf 6,Strass Im Zillertal,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Satellitecable channels ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Superior Double Room,Room size 30 m_square323 ft_square Non-smoking Shower 1 double bed,166.27
510,364386,Gasthof Hotel Post,Oberdorf 6,Strass Im Zillertal,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Satellitecable channels ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Triple Room,Room size 30 m_square323 ft_square Non-smoking Shower 1 double bed and 1 sofa bed,166.27
511,364386,Gasthof Hotel Post,Oberdorf 6,Strass Im Zillertal,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Satellitecable channels ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Small Double Room,Room size 19 m_square205 ft_square Balconyterrace Shower 1 queen bed,166.27
512,367171,Hotel Bergzeit,Unterbergstrasse 56,Grossarl,Austria,Hotels,4,Additional bathroom ;Additional toilet ;Air conditioning ;Bathrobes ;Carpeting ;Closet ;Clothes dryer ;Clothes rack ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;,Family Room 2 Adults + 1 Child,Room size 45 m_square484 ft_square Balconyterrace Shower 2 single beds and 1 queen bed and 1 sofa bed,424.96
513,367171,Hotel Bergzeit,Unterbergstrasse 56,Grossarl,Austria,Hotels,4,Additional bathroom ;Additional toilet ;Air conditioning ;Bathrobes ;Carpeting ;Closet ;Clothes dryer ;Clothes rack ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;,Comfort Double Room,Room size 27 m_square291 ft_square Balconyterrace Shower 1 queen bed and 1 sofa bed,424.96
514,367171,Hotel Bergzeit,Unterbergstrasse 56,Grossarl,Austria,Hotels,4,Additional bathroom ;Additional toilet ;Air conditioning ;Bathrobes ;Carpeting ;Closet ;Clothes dryer ;Clothes rack ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;,Double Room with Panoramic View,Room size 30 m_square323 ft_square Balconyterrace Shower 1 queen bed and 1 sofa bed,424.96
515,367171,Hotel Bergzeit,Unterbergstrasse 56,Grossarl,Austria,Hotels,4,Additional bathroom ;Additional toilet ;Air conditioning ;Bathrobes ;Carpeting ;Closet ;Clothes dryer ;Clothes rack ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Linens ;Mirror ;Satellitecable channels ;Seating area ;Slippers ;Smoke detector ;Sofa ;Telephone ;Toiletries ;Towels ;,Superior Single Room,Room size 27 m_square291 ft_square Balconyterrace Shower 1 single bed,424.96
516,368193,Hotel Exel,Alte Zeile 14,Amstetten,Austria,Hotels,4,Air conditioning ;Carpeting ;Closet ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Interconnecting rooms available ;Mini bar ;Satellitecable channels ;Smoke detector ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Double Room,Room size 20 m_square215 ft_square Shower 1 queen bed,141.935
